file_path,split_group,class,prefix,is_corrupt,is_dup_within_group,is_cross_group_dup,is_anomaly,blazeface_undetected,blazeface_detected,blazeface_n_faces,blazeface_top_confidence,blazeface_bbox_rel_area
../data/raw\train\angry\Training_11023881.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,1,0.6300079822540283,0.8025173611111112
../data/raw\train\angry\Training_11036720.jpg,TRAIN,angry,Training_,False,False,True,False,False,True,6,0.5132492184638977,0.8025173611111112
../data/raw\train\angry\Training_11102431.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.6454524993896484,0.66015625
../data/raw\train\angry\Training_11175213.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,1,0.7160894870758057,0.9587673611111112
../data/raw\train\angry\Training_11185740.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,4,0.8193662166595459,0.5316840277777778
../data/raw\train\angry\Training_1119091.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.5833168029785156,0.6267361111111112
../data/raw\train\angry\Training_11206889.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,12,0.4911345839500427,0.8402777777777778
../data/raw\train\angry\Training_1120923.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.5503714084625244,0.8402777777777778
../data/raw\train\angry\Training_11247006.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,1,0.640200674533844,0.9184027777777778
../data/raw\train\angry\Training_11262281.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.753462553024292,0.7296006944444444
../data/raw\train\angry\Training_11275727.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.7029342651367188,0.7296006944444444
../data/raw\train\angry\Training_1127865.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,4,0.7002668976783752,0.66015625
../data/raw\train\angry\Training_11292723.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,1,0.7770945429801941,0.87890625
../data/raw\train\angry\Training_11306820.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,5,0.5994196534156799,0.765625
../data/raw\train\angry\Training_11319077.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.8426053524017334,0.47265625
../data/raw\train\angry\Training_11330391.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.6555611491203308,0.5316840277777778
../data/raw\train\angry\Training_1133567.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.6764729022979736,0.8025173611111112
../data/raw\train\angry\Training_11350676.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,1,0.7057121396064758,0.8402777777777778
../data/raw\train\angry\Training_11359731.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,5,0.7414557337760925,0.5625
../data/raw\train\angry\Training_11393282.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,1,0.6475333571434021,0.7296006944444444
../data/raw\train\angry\Training_11478843.jpg,TRAIN,angry,Training_,False,True,False,False,False,True,3,0.7778854966163635,0.8402777777777778
../data/raw\train\angry\Training_11533347.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,6,0.7333091497421265,0.5316840277777778
../data/raw\train\angry\Training_11566408.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.685181200504303,0.765625
../data/raw\train\angry\Training_11571868.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,7,0.5427635312080383,0.8402777777777778
../data/raw\train\angry\Training_11576563.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.7497202754020691,0.5941840277777778
../data/raw\train\angry\Training_11579481.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,11,0.5168793797492981,0.5625
../data/raw\train\angry\Training_11596465.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,5,0.6121536493301392,0.6944444444444444
../data/raw\train\angry\Training_11666027.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,5,0.6121262907981873,0.6267361111111112
../data/raw\train\angry\Training_11666709.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.8213693499565125,0.4444444444444444
../data/raw\train\angry\Training_11713762.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,1,0.848601758480072,0.8402777777777778
../data/raw\train\angry\Training_1173634.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.5904453992843628,0.8025173611111112
../data/raw\train\angry\Training_11745938.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,6,0.6176908016204834,0.66015625
../data/raw\train\angry\Training_11749309.jpg,TRAIN,angry,Training_,False,True,False,False,False,True,4,0.7321954369544983,0.765625
../data/raw\train\angry\Training_11769417.jpg,TRAIN,angry,Training_,False,True,False,False,False,True,1,0.6830670237541199,0.6267361111111112
../data/raw\train\angry\Training_11769870.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.7768502235412598,0.8402777777777778
../data/raw\train\angry\Training_11770015.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.7185778617858887,0.765625
../data/raw\train\angry\Training_11808005.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,7,0.6155873537063599,0.4444444444444444
../data/raw\train\angry\Training_11820572.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.6559484004974365,0.765625
../data/raw\train\angry\Training_1184435.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,5,0.5387842655181885,0.6944444444444444
../data/raw\train\angry\Training_11860503.jpg,TRAIN,angry,Training_,False,True,False,False,False,True,1,0.7892081141471863,0.87890625
../data/raw\train\angry\Training_11888118.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.8588491678237915,0.5017361111111112
../data/raw\train\angry\Training_11917747.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.8018600940704346,0.765625
../data/raw\train\angry\Training_1193977.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.795437753200531,0.5625
../data/raw\train\angry\Training_11940623.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,6,0.5866108536720276,0.6267361111111112
../data/raw\train\angry\Training_11947615.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.8793737292289734,0.8402777777777778
../data/raw\train\angry\Training_11954904.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.84037846326828,0.6267361111111112
../data/raw\train\angry\Training_11983206.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.6091815233230591,0.8025173611111112
../data/raw\train\angry\Training_11990539.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.8113939762115479,0.4444444444444444
../data/raw\train\angry\Training_12006812.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,7,0.6814374923706055,0.66015625
../data/raw\train\angry\Training_12017013.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,4,0.7598698735237122,0.3650173611111111
../data/raw\train\angry\Training_12037449.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.20498275756835938,0.47265625
../data/raw\train\angry\Training_12045034.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,6,0.7866966724395752,0.5625
../data/raw\train\angry\Training_12075336.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,8,0.5236889123916626,0.5316840277777778
../data/raw\train\angry\Training_12091917.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,4,0.5623485445976257,0.8025173611111112
../data/raw\train\angry\Training_12095508.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,1,0.7863866090774536,0.765625
../data/raw\train\angry\Training_12095988.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,5,0.5660226345062256,0.8402777777777778
../data/raw\train\angry\Training_12148960.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,7,0.3071311414241791,0.4171006944444444
../data/raw\train\angry\Training_12155031.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,1,0.7264257073402405,0.87890625
../data/raw\train\angry\Training_12168970.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,4,0.658203125,0.66015625
../data/raw\train\angry\Training_12172696.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,4,0.7101613879203796,0.7296006944444444
../data/raw\train\angry\Training_12175445.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.6103401184082031,0.8025173611111112
../data/raw\train\angry\Training_12216843.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,4,0.7498185038566589,0.8025173611111112
../data/raw\train\angry\Training_12250673.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.44107139110565186,0.8402777777777778
../data/raw\train\angry\Training_12295489.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,4,0.6794066429138184,0.6267361111111112
../data/raw\train\angry\Training_12383687.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.6324676275253296,0.765625
../data/raw\train\angry\Training_12391352.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,4,0.6707205772399902,0.8025173611111112
../data/raw\train\angry\Training_12407292.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.6351077556610107,0.87890625
../data/raw\train\angry\Training_12409483.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.788087785243988,0.6944444444444444
../data/raw\train\angry\Training_12450586.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,4,0.70042484998703,0.6944444444444444
../data/raw\train\angry\Training_12469031.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,1,0.7097809314727783,0.8025173611111112
../data/raw\train\angry\Training_12513174.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.8050463795661926,0.8402777777777778
../data/raw\train\angry\Training_12524483.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,4,0.7581617832183838,0.5625
../data/raw\train\angry\Training_12565431.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,4,0.7800017595291138,0.8402777777777778
../data/raw\train\angry\Training_12604769.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.8166409730911255,0.765625
../data/raw\train\angry\Training_12661221.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.4609321355819702,0.5941840277777778
../data/raw\train\angry\Training_12675274.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.6894271373748779,0.87890625
../data/raw\train\angry\Training_12686673.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.8096936941146851,0.6944444444444444
../data/raw\train\angry\Training_12695814.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,1,0.8765782117843628,0.8025173611111112
../data/raw\train\angry\Training_12775696.jpg,TRAIN,angry,Training_,False,True,False,False,False,True,1,0.7892081141471863,0.87890625
../data/raw\train\angry\Training_12776681.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.8250512480735779,0.8402777777777778
../data/raw\train\angry\Training_12812647.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.8106368780136108,0.87890625
../data/raw\train\angry\Training_12837353.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,5,0.6546518802642822,0.7296006944444444
../data/raw\train\angry\Training_12861782.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,5,0.6970706582069397,0.6267361111111112
../data/raw\train\angry\Training_12890896.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,6,0.5148486495018005,0.9184027777777778
../data/raw\train\angry\Training_1294170.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.7638125419616699,0.7296006944444444
../data/raw\train\angry\Training_12961021.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.7663800120353699,0.6267361111111112
../data/raw\train\angry\Training_12974019.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.806923508644104,0.66015625
../data/raw\train\angry\Training_13039915.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.7675945162773132,0.47265625
../data/raw\train\angry\Training_13040296.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,1,0.7402163743972778,0.7296006944444444
../data/raw\train\angry\Training_13043913.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.5122972130775452,0.8402777777777778
../data/raw\train\angry\Training_13064272.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,5,0.6717538833618164,0.6267361111111112
../data/raw\train\angry\Training_13081843.jpg,TRAIN,angry,Training_,False,False,True,False,False,True,5,0.6098076701164246,0.5017361111111112
../data/raw\train\angry\Training_13145953.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,5,0.536482572555542,0.5941840277777778
../data/raw\train\angry\Training_13196511.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,6,0.5162410736083984,0.6267361111111112
../data/raw\train\angry\Training_13202061.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,1,0.5968197584152222,0.8025173611111112
../data/raw\train\angry\Training_13221971.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.6570473909378052,0.8025173611111112
../data/raw\train\angry\Training_13282534.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.8357512950897217,0.66015625
../data/raw\train\angry\Training_1329550.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,5,0.6429094672203064,0.8025173611111112
../data/raw\train\angry\Training_13304793.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,4,0.6427181363105774,0.7296006944444444
../data/raw\train\angry\Training_13325591.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,5,0.7102009654045105,0.5625
../data/raw\train\angry\Training_13489272.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,5,0.7823299765586853,0.8402777777777778
../data/raw\train\angry\Training_13521344.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.7605754137039185,0.6267361111111112
../data/raw\train\angry\Training_13605605.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.7794992327690125,0.765625
../data/raw\train\angry\Training_13607820.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.6208309531211853,0.4171006944444444
../data/raw\train\angry\Training_13644751.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.6185616850852966,0.66015625
../data/raw\train\angry\Training_13659242.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,4,0.8130136132240295,0.5017361111111112
../data/raw\train\angry\Training_13677471.jpg,TRAIN,angry,Training_,False,True,False,False,False,True,3,0.7896661758422852,0.87890625
../data/raw\train\angry\Training_13689420.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,11,0.5764808654785156,0.5941840277777778
../data/raw\train\angry\Training_13742442.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,1,0.723315417766571,0.6944444444444444
../data/raw\train\angry\Training_13772540.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,9,0.5440666079521179,0.6267361111111112
../data/raw\train\angry\Training_13782684.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.6262074708938599,0.765625
../data/raw\train\angry\Training_13790669.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,5,0.731961727142334,0.6944444444444444
../data/raw\train\angry\Training_13852029.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,7,0.667789101600647,0.5017361111111112
../data/raw\train\angry\Training_13874420.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,6,0.38876283168792725,0.765625
../data/raw\train\angry\Training_13898081.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,1,0.9079672694206238,0.765625
../data/raw\train\angry\Training_13917123.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,4,0.5402929782867432,0.6267361111111112
../data/raw\train\angry\Training_13919685.jpg,TRAIN,angry,Training_,False,True,False,False,False,True,5,0.6320316791534424,0.5625
../data/raw\train\angry\Training_13965818.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,1,0.7305602431297302,0.66015625
../data/raw\train\angry\Training_13976691.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.815235435962677,0.31640625
../data/raw\train\angry\Training_13994952.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,4,0.6296241283416748,0.765625
../data/raw\train\angry\Training_13997003.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,1,0.9200741648674011,0.765625
../data/raw\train\angry\Training_14051560.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,5,0.5512434840202332,0.5625
../data/raw\train\angry\Training_14054767.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,5,0.5590865015983582,0.8025173611111112
../data/raw\train\angry\Training_14056996.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,8,0.4658266305923462,0.8402777777777778
../data/raw\train\angry\Training_1409194.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,1,0.7076465487480164,0.7296006944444444
../data/raw\train\angry\Training_14110796.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,4,0.5812214016914368,0.765625
../data/raw\train\angry\Training_14118986.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.6439262628555298,0.7296006944444444
../data/raw\train\angry\Training_14119944.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.7478592395782471,0.5316840277777778
../data/raw\train\angry\Training_14151520.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.8604572415351868,0.8402777777777778
../data/raw\train\angry\Training_14169607.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,1,0.6844202876091003,0.8402777777777778
../data/raw\train\angry\Training_14215476.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.8390997052192688,0.5625
../data/raw\train\angry\Training_14226893.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.5428612232208252,0.9184027777777778
../data/raw\train\angry\Training_14227929.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.6920125484466553,0.87890625
../data/raw\train\angry\Training_1424656.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,1,0.5795708298683167,0.87890625
../data/raw\train\angry\Training_14248179.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.615294873714447,0.8402777777777778
../data/raw\train\angry\Training_14248217.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.8796119093894958,0.5941840277777778
../data/raw\train\angry\Training_1426440.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.7776793837547302,0.6944444444444444
../data/raw\train\angry\Training_14291798.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,4,0.5357620716094971,0.6944444444444444
../data/raw\train\angry\Training_14296537.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.8547711968421936,0.8025173611111112
../data/raw\train\angry\Training_143373.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.6398801207542419,0.6267361111111112
../data/raw\train\angry\Training_14340905.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.8796927332878113,0.5017361111111112
../data/raw\train\angry\Training_14342315.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.6793105006217957,0.5941840277777778
../data/raw\train\angry\Training_14383356.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,4,0.6990208625793457,0.5941840277777778
../data/raw\train\angry\Training_14399797.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.8471728563308716,0.87890625
../data/raw\train\angry\Training_14417147.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,5,0.5065104961395264,0.765625
../data/raw\train\angry\Training_14485990.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,1,0.7687008380889893,0.6944444444444444
../data/raw\train\angry\Training_14503064.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,5,0.5458735227584839,0.47265625
../data/raw\train\angry\Training_14519925.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,4,0.7633638381958008,0.6944444444444444
../data/raw\train\angry\Training_14525872.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,1,0.8023821115493774,0.8025173611111112
../data/raw\train\angry\Training_14530363.jpg,TRAIN,angry,Training_,False,True,False,False,False,True,2,0.8299782872200012,0.8025173611111112
../data/raw\train\angry\Training_14532305.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.8835083842277527,0.5316840277777778
../data/raw\train\angry\Training_14566179.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,5,0.8803406953811646,0.4444444444444444
../data/raw\train\angry\Training_14570127.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,5,0.7888157963752747,0.8025173611111112
../data/raw\train\angry\Training_14588902.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,6,0.6444066166877747,0.03515625
../data/raw\train\angry\Training_14619449.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,1,0.8907042145729065,0.5625
../data/raw\train\angry\Training_14621559.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,1,0.811210036277771,0.66015625
../data/raw\train\angry\Training_14636525.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.7448649406433105,0.765625
../data/raw\train\angry\Training_14641612.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,1,0.8811919093132019,0.5941840277777778
../data/raw\train\angry\Training_14690040.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.8576642274856567,0.5316840277777778
../data/raw\train\angry\Training_14692406.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.6130390167236328,0.765625
../data/raw\train\angry\Training_14713134.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.6710992455482483,0.87890625
../data/raw\train\angry\Training_14754797.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,5,0.489530473947525,0.8402777777777778
../data/raw\train\angry\Training_1477608.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,1,0.7038239240646362,0.765625
../data/raw\train\angry\Training_14776502.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.8131431937217712,0.7296006944444444
../data/raw\train\angry\Training_14820944.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,4,0.6620907783508301,0.5017361111111112
../data/raw\train\angry\Training_14823194.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.757214367389679,0.4171006944444444
../data/raw\train\angry\Training_14830141.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,4,0.4564403295516968,0.6944444444444444
../data/raw\train\angry\Training_14848707.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,4,0.8440881371498108,0.47265625
../data/raw\train\angry\Training_14849067.jpg,TRAIN,angry,Training_,False,False,True,False,False,True,2,0.7958319783210754,0.5941840277777778
../data/raw\train\angry\Training_14869777.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,1,0.7433120012283325,0.66015625
../data/raw\train\angry\Training_14883276.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,4,0.5244494080543518,0.6267361111111112
../data/raw\train\angry\Training_14909933.jpg,TRAIN,angry,Training_,False,True,False,False,False,True,3,0.8904866576194763,0.8402777777777778
../data/raw\train\angry\Training_14918881.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.6935457587242126,0.765625
../data/raw\train\angry\Training_14954004.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.7824041843414307,0.47265625
../data/raw\train\angry\Training_14976970.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.6664977073669434,0.8025173611111112
../data/raw\train\angry\Training_1500617.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.7774885296821594,0.8025173611111112
../data/raw\train\angry\Training_15058314.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.8760973811149597,0.765625
../data/raw\train\angry\Training_15081195.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.7071595191955566,0.8025173611111112
../data/raw\train\angry\Training_15108206.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,8,0.4328877031803131,0.5941840277777778
../data/raw\train\angry\Training_15127879.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.805931806564331,0.5017361111111112
../data/raw\train\angry\Training_15150679.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.8801272511482239,0.5941840277777778
