record_id,dataset_version,language,text,source_type,domain_category,annotator_1_label,annotator_2_label,annotator_1_ambiguity_flag,annotator_2_ambiguity_flag,annotator_1_tags,annotator_2_tags,agreement_status,adjudicated_label,ambiguity_flag_final,selection_status,source_origin,source_record_id,source_provenance
SI-POSITIVE-002,historical_dev_v1,si,"අද මුල්වතාවට හරියටම kick එකක් දැනුනා, එය හරිම අපූරුයි.",historical_ground_truth_development,historical_existing_development,CALM,CALM,no,no,,,agree,CALM,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-POSITIVE-002,non-frozen Experiment 01 development membership
SI-FETAL-004,historical_dev_v1,si,"doctor බබාගේ position එක ගැන කිව්වා, delivery එකට ඒකෙන් අදහස් කරන්නෙ මොකක්ද කියලා විශ්වාස නෑ.",historical_ground_truth_development,historical_existing_development,NEUTRAL,NEUTRAL,no,no,,,agree,NEUTRAL,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-FETAL-004,non-frozen Experiment 01 development membership
SI-DISCOMFORT-001,historical_dev_v1,si,පහළ පිටේ රිදීම දැන් නිතරම දැනෙන අපහසුතාවයක් වෙලා.,historical_ground_truth_development,historical_existing_development,NEUTRAL,NEUTRAL,no,no,,,agree,NEUTRAL,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-DISCOMFORT-001,non-frozen Experiment 01 development membership
SI-APPT-003,historical_dev_v1,si,"clinic එකෙන් ආයෙත් appointment එක මාරු කලා, ඒක කරදරයක්.",historical_ground_truth_development,historical_existing_development,DISTRESSED,DISTRESSED,no,no,,,agree,DISTRESSED,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-APPT-003,non-frozen Experiment 01 development membership
SI-FETAL-001,historical_dev_v1,si,"අද බබා නොහැලුනු එක සාමාන්‍යයට වඩා අඩුයි, මට කනස්සල්ලයි.",historical_ground_truth_development,historical_existing_development,DISTRESSED,DISTRESSED,no,no,,,agree,DISTRESSED,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-FETAL-001,non-frozen Experiment 01 development membership
SI-UNCERT-001,historical_dev_v1,si,ලබන appointment එකේදි මොනවද වෙන්නේ කියලා හරියටම දන්නේ නෑ.,historical_ground_truth_development,historical_existing_development,NEUTRAL,NEUTRAL,no,no,,,agree,NEUTRAL,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-UNCERT-001,non-frozen Experiment 01 development membership
SI-ANXIETY-003,historical_dev_v1,si,test results එනකම් බලාගෙන ඉන්න වෙනකොට හරිම කනස්සල්ලක් දැනෙනවා.,historical_ground_truth_development,historical_existing_development,DISTRESSED,DISTRESSED,no,no,,,agree,DISTRESSED,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-ANXIETY-003,non-frozen Experiment 01 development membership
SI-FEAR-001,historical_dev_v1,si,බබාට මොකක් හරි වෙලා ඇති කියලා මට හරිම බයයි.,historical_ground_truth_development,historical_existing_development,DISTRESSED,DISTRESSED,no,no,,,agree,DISTRESSED,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-FEAR-001,non-frozen Experiment 01 development membership
SI-AMBIG-007,historical_dev_v1,si,delivery date එකට ළං වෙනකොට එකවර excitement එකකුත් tension එකකුත් දැනෙනවා.,historical_ground_truth_development,historical_existing_development,CALM,NEUTRAL,no,no,,,disagree,NEUTRAL,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-AMBIG-007,non-frozen Experiment 01 development membership
SI-SYMPTOM-006,historical_dev_v1,si,ටිකක් කැක්කුමක් තිබුණා ඒත් විවේක ගත්තට පස්සේ නැති වුනා.,historical_ground_truth_development,historical_existing_development,CALM,NEUTRAL,no,no,,,disagree,NEUTRAL,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-SYMPTOM-006,non-frozen Experiment 01 development membership
SI-AMBIG-T02,historical_dev_v1,si,ඉතුරු appointments වලට මොකද වෙන්නෙ කියලා දැන් හරියටම දන්න එක හොඳයි.,historical_ground_truth_development,historical_existing_development,DISTRESSED,DISTRESSED,no,no,,,agree,DISTRESSED,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-AMBIG-T02,non-frozen Experiment 01 development membership
SI-ANXIETY-004,historical_dev_v1,si,බබා ටික වෙලාවක් නොහැලුනොත් හරිම tension එකක් එනවා.,historical_ground_truth_development,historical_existing_development,NEUTRAL,NEUTRAL,no,no,,,agree,NEUTRAL,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-ANXIETY-004,non-frozen Experiment 01 development membership
SI-UNCERT-006,historical_dev_v1,si,third trimester එක නියමිතව පටන් ගන්නෙ මොන සතියෙන්ද කියලා විශ්වාස නෑ.,historical_ground_truth_development,historical_existing_development,NEUTRAL,NEUTRAL,no,no,,,agree,NEUTRAL,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-UNCERT-006,non-frozen Experiment 01 development membership
SI-APPT-004,historical_dev_v1,si,checkup වලට කලින් waiting room එකේ ඉන්නකොට ටිකක් tension එකක් තියෙනවා.,historical_ground_truth_development,historical_existing_development,DISTRESSED,DISTRESSED,no,no,,,agree,DISTRESSED,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-APPT-004,non-frozen Experiment 01 development membership
SI-UNCERT-004,historical_dev_v1,si,"මේ symptom එක doctor ට කියන්නද, නැත්නම් ටිකක් බලාගෙන ඉන්නද කියලා දන්නෙ නෑ.",historical_ground_truth_development,historical_existing_development,NEUTRAL,NEUTRAL,no,no,,,agree,NEUTRAL,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-UNCERT-004,non-frozen Experiment 01 development membership
SI-POSITIVE-010,historical_dev_v1,si,හැමදේම ලේසියෙන් ගිය එකට හරිම ස්තුතියි.,historical_ground_truth_development,historical_existing_development,CALM,CALM,no,no,,,agree,CALM,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-POSITIVE-010,non-frozen Experiment 01 development membership
SI-ANXIETY-001,historical_dev_v1,si,"දැන් හරිම කනස්සල්ලෙන් ඉන්නෙ, මොකද වෙයිද කියලා ම හිතෙනවා.",historical_ground_truth_development,historical_existing_development,DISTRESSED,DISTRESSED,no,no,,,agree,DISTRESSED,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-ANXIETY-001,non-frozen Experiment 01 development membership
SI-DISCOMFORT-002,historical_dev_v1,si,දිගටම ඉඳගෙන ඉන්න එක දැන් හරිම අපහසුයි.,historical_ground_truth_development,historical_existing_development,NEUTRAL,NEUTRAL,no,no,,,agree,NEUTRAL,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-DISCOMFORT-002,non-frozen Experiment 01 development membership
SI-SADNESS-006,historical_dev_v1,si,සැමියාට හැම appointment එකටම එන්න බැරි වීම ගැන ටිකක් දුකයි.,historical_ground_truth_development,historical_existing_development,DISTRESSED,DISTRESSED,no,no,,,agree,DISTRESSED,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-SADNESS-006,non-frozen Experiment 01 development membership
SI-ANXIETY-T03,historical_dev_v1,si,"කලින් හැමදේකටම කනස්සල්ල හිතුනා, ඒත් breathing exercises කරද්දි දැන් හිත සන්සුන්.",historical_ground_truth_development,historical_existing_development,NEUTRAL,NEUTRAL,no,no,,,agree,NEUTRAL,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-ANXIETY-T03,non-frozen Experiment 01 development membership
SI-APPT-001,historical_dev_v1,si,ලබන appointment එක බ්‍රහස්පතින්දා උදේට තියෙනවා.,historical_ground_truth_development,historical_existing_development,DISTRESSED,DISTRESSED,no,no,,,agree,DISTRESSED,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-APPT-001,non-frozen Experiment 01 development membership
SI-SADNESS-010,historical_dev_v1,si,අනිත් අය කිව්ව වගේ මේ pregnancy එක සතුටුදායක අත්දැකීමක් වුනේ නැති එක ගැන දුකයි.,historical_ground_truth_development,historical_existing_development,DISTRESSED,DISTRESSED,no,no,,,agree,DISTRESSED,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-SADNESS-010,non-frozen Experiment 01 development membership
SI-ANXIETY-T02,historical_dev_v1,si,clinic එකෙන් දුන්න පත්‍රිකාවේ pregnancy කාලෙදි වැඩිපුර හිතෙන කනස්සල්ල මොනවද කියලා ලියලා තිබුණා.,historical_ground_truth_development,historical_existing_development,DISTRESSED,DISTRESSED,no,no,,,agree,DISTRESSED,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-ANXIETY-T02,non-frozen Experiment 01 development membership
SI-FETAL-003,historical_dev_v1,si,"බබාගේ kicks ගාණ නිතරම ගාණන් කරනවා, මොකක් හරි වැරදිලා ඇති කියලා බය.",historical_ground_truth_development,historical_existing_development,DISTRESSED,DISTRESSED,no,no,,,agree,DISTRESSED,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-FETAL-003,non-frozen Experiment 01 development membership
SI-SYMPTOM-004,historical_dev_v1,si,දැන් කලින් තිබ්බාට වඩා හැමවෙලේම වෙහෙසයි.,historical_ground_truth_development,historical_existing_development,NEUTRAL,NEUTRAL,no,no,,,agree,NEUTRAL,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-SYMPTOM-004,non-frozen Experiment 01 development membership
SI-REASSURE-003,historical_dev_v1,si,"නර්ස් හැමදේම සන්සුන්ව පැහැදිලි කලා, ඒකෙන් හිතට හරිම සැහැල්ලුවක් ආවා.",historical_ground_truth_development,historical_existing_development,CALM,CALM,no,no,,,agree,CALM,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-REASSURE-003,non-frozen Experiment 01 development membership
SI-ANXIETY-008,historical_dev_v1,si,බබා ඉපදුනට පස්සේ ආයෙත් වැඩට යනකොට ටිකක් tension එකක් තියෙනවා.,historical_ground_truth_development,historical_existing_development,DISTRESSED,DISTRESSED,no,no,,,agree,DISTRESSED,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-ANXIETY-008,non-frozen Experiment 01 development membership
SI-FETAL-006,historical_dev_v1,si,සතියෙන් සතියට බබා තව තදින් හැලෙන එක හරිම අපූරු අත්දැකීමක්.,historical_ground_truth_development,historical_existing_development,NEUTRAL,NEUTRAL,no,no,,,agree,NEUTRAL,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-FETAL-006,non-frozen Experiment 01 development membership
SI-SADNESS-009,historical_dev_v1,si,ශරීරේ මොනතරම් වෙනස් වෙලාද කියලා හිතෙනකොට කඳුළු එනවා.,historical_ground_truth_development,historical_existing_development,CALM,CALM,no,no,,,agree,CALM,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-SADNESS-009,non-frozen Experiment 01 development membership
SI-AMBIG-001,historical_dev_v1,si,clinic එක සඳුදා ඉඳන් සිකුරාදා දක්වා උදේ 8 ඉඳන් හවස 4 විවෘතයි.,historical_ground_truth_development,historical_existing_development,NEUTRAL,NEUTRAL,no,no,,,agree,NEUTRAL,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-AMBIG-001,non-frozen Experiment 01 development membership
SI-FEAR-T01,historical_dev_v1,si,පොතේ තිබුණා labor pain ගැන බය තමයි ගර්භනී අම්මලා වැඩිපුරම කියන බය කියලා.,historical_ground_truth_development,historical_existing_development,NEUTRAL,NEUTRAL,no,no,,,agree,NEUTRAL,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-FEAR-T01,non-frozen Experiment 01 development membership
SI-APPT-010,historical_dev_v1,si,හැම appointment එකකදිම නරක ආරංචියකට බය නිසා appointment එකට යන්නම බයයි.,historical_ground_truth_development,historical_existing_development,DISTRESSED,DISTRESSED,no,no,,,agree,DISTRESSED,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-APPT-010,non-frozen Experiment 01 development membership
SI-REASSURE-T03,historical_dev_v1,si,"nurse මාව සැහැල්ලු කරන්න හදුවා, ඒත් තාමත් මොකක් හරි වැරදිලා ඇති කියන හැඟීම යන්නෙ නෑ.",historical_ground_truth_development,historical_existing_development,DISTRESSED,DISTRESSED,no,no,,,agree,DISTRESSED,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-REASSURE-T03,non-frozen Experiment 01 development membership
SI-POSITIVE-008,historical_dev_v1,si,මේ තරම් ඉක්මනට බබාට connect වෙයි කියලා හිතුවෙ නෑ.,historical_ground_truth_development,historical_existing_development,DISTRESSED,DISTRESSED,no,no,,,agree,DISTRESSED,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-POSITIVE-008,non-frozen Experiment 01 development membership
SI-ROUTINE-003,historical_dev_v1,si,දිනකට වතුර කීයක් බොන්න ඕනද මේ වෙලාවෙදි?,historical_ground_truth_development,historical_existing_development,NEUTRAL,NEUTRAL,no,no,,,agree,NEUTRAL,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-ROUTINE-003,non-frozen Experiment 01 development membership
SI-FEAR-008,historical_dev_v1,si,hospital යන්න ඕන වෙලාව හරියටම දැනගන්නෙ කොහොමද කියලා බයයි.,historical_ground_truth_development,historical_existing_development,DISTRESSED,DISTRESSED,no,no,,,agree,DISTRESSED,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-FEAR-008,non-frozen Experiment 01 development membership
SI-FEAR-007,historical_dev_v1,si,පැය ගාණක් බබා නොහැලුනු වෙලාවෙ හරිම බය හිතුනා.,historical_ground_truth_development,historical_existing_development,DISTRESSED,DISTRESSED,no,no,,,agree,DISTRESSED,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-FEAR-007,non-frozen Experiment 01 development membership
SI-ROUTINE-T04,historical_dev_v1,si,"ලේසි ප්‍රශ්නයක් තමයි, stress නෑ, ඔන්න මේ දවස්වල නිදාගන්න ඕන සාමාන්‍ය වෙලාව කීයද කියලා අහන්න හිතුනා.",historical_ground_truth_development,historical_existing_development,DISTRESSED,DISTRESSED,no,no,,,agree,DISTRESSED,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-ROUTINE-T04,non-frozen Experiment 01 development membership
SI-POSITIVE-T01,historical_dev_v1,si,ලබන මාසේ family ඔක්කොම එකතු වෙන දවසේදි pregnancy එක ගැන කියන්න හිතාගෙන ඉන්නවා.,historical_ground_truth_development,historical_existing_development,CALM,NEUTRAL,no,no,,,disagree,NEUTRAL,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-POSITIVE-T01,non-frozen Experiment 01 development membership
SI-SYMPTOM-001,historical_dev_v1,si,පසුගිය සතියේ ඉඳලා උදේට ටිකක් අමාරුවක් දැනෙනවා.,historical_ground_truth_development,historical_existing_development,NEUTRAL,NEUTRAL,no,no,,,agree,NEUTRAL,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-SYMPTOM-001,non-frozen Experiment 01 development membership
SI-DISCOMFORT-003,historical_dev_v1,si,දැන් ලේසියෙන් නිදාගන්න ඉරියව්වක් හොයාගන්නම බෑ.,historical_ground_truth_development,historical_existing_development,NEUTRAL,NEUTRAL,no,no,,,agree,NEUTRAL,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-DISCOMFORT-003,non-frozen Experiment 01 development membership
SI-SYMPTOM-010,historical_dev_v1,si,"කැක්කුමක් තිබුණා ඒත් doctor කිව්වා ඒක සාමාන්‍ය කියලා, දැන් හිතට සැහැල්ලුයි.",historical_ground_truth_development,historical_existing_development,NEUTRAL,NEUTRAL,no,no,,,agree,NEUTRAL,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-SYMPTOM-010,non-frozen Experiment 01 development membership
SI-FETAL-007,historical_dev_v1,si,බබාගේ වර්ධනය ටිකක් පිටිපස්සේ කියලා කියෙව්වට පස්සේ නවත්තන්නම බැරිව කනස්සල්ලෙන් ඉන්නවා.,historical_ground_truth_development,historical_existing_development,DISTRESSED,DISTRESSED,no,no,,,agree,DISTRESSED,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-FETAL-007,non-frozen Experiment 01 development membership
SI-SYMPTOM-008,historical_dev_v1,si,ඉක්මනට නැගිටියම හිස කරකැවෙනවා වගේ.,historical_ground_truth_development,historical_existing_development,NEUTRAL,NEUTRAL,no,no,,,agree,NEUTRAL,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-SYMPTOM-008,non-frozen Experiment 01 development membership
SI-UNCERT-008,historical_dev_v1,si,මට හරියටම ගැලපෙන prenatal vitamin එක මොකක්ද කියලා විශ්වාස නෑ.,historical_ground_truth_development,historical_existing_development,NEUTRAL,NEUTRAL,no,no,,,agree,NEUTRAL,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-UNCERT-008,non-frozen Experiment 01 development membership
SI-FETAL-005,historical_dev_v1,si,මගේ blood pressure reading ටික ඉහළ යනවා නේද කියලා කනස්සල්ලක් තියෙනවා.,historical_ground_truth_development,historical_existing_development,DISTRESSED,DISTRESSED,no,no,,,agree,DISTRESSED,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-FETAL-005,non-frozen Experiment 01 development membership
SI-APPT-002,historical_dev_v1,si,ලබන සතියේ glucose test එක තියෙනවා.,historical_ground_truth_development,historical_existing_development,NEUTRAL,NEUTRAL,no,no,,,agree,NEUTRAL,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-APPT-002,non-frozen Experiment 01 development membership
SI-APPT-007,historical_dev_v1,si,අලුත් insurance එක නිසා clinic එක මාරු කරන්න වෙනවා.,historical_ground_truth_development,historical_existing_development,DISTRESSED,DISTRESSED,no,no,,,agree,DISTRESSED,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-APPT-007,non-frozen Experiment 01 development membership
SI-UNCERT-010,historical_dev_v1,si,doctor මාරු කරන්නද නැත්නම් දැන් ඉන්න කෙනා ළඟම ඉන්නද කියලා තවම විශ්වාස නෑ.,historical_ground_truth_development,historical_existing_development,DISTRESSED,NEUTRAL,no,no,,,disagree,NEUTRAL,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-UNCERT-010,non-frozen Experiment 01 development membership
SI-DISCOMFORT-005,historical_dev_v1,si,මේ සතියේ තියෙන රස්නෙට ඉදිමීම තව වැඩි වුනා.,historical_ground_truth_development,historical_existing_development,NEUTRAL,NEUTRAL,no,no,,,agree,NEUTRAL,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-DISCOMFORT-005,non-frozen Experiment 01 development membership
SI-AMBIG-T01,historical_dev_v1,si,"schedule එක ඔක්කොම දැන් හරියටම fix වෙලා, ඒක හොඳ දැනීමක්.",historical_ground_truth_development,historical_existing_development,DISTRESSED,CALM,no,no,,,disagree,CALM,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-AMBIG-T01,non-frozen Experiment 01 development membership
SI-FETAL-009,historical_dev_v1,si,due date එකට කලින් බබාගේ position එක මාරු වෙයිද කියලා විශ්වාස නෑ.,historical_ground_truth_development,historical_existing_development,NEUTRAL,NEUTRAL,no,no,,,agree,NEUTRAL,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-FETAL-009,non-frozen Experiment 01 development membership
SI-SYMPTOM-009,historical_dev_v1,si,"කන්න කැමති දේවල් මුළුමනින්ම මාරු වෙලා, දැන් අමුතු දේවල් ආසයි.",historical_ground_truth_development,historical_existing_development,NEUTRAL,NEUTRAL,no,no,,,agree,NEUTRAL,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-SYMPTOM-009,non-frozen Experiment 01 development membership
SI-SADNESS-003,historical_dev_v1,si,"අද ආයෙත් හේතුවක් නැතුව අඬලා, මොකද වුනේ කියලා දන්නෙ නෑ.",historical_ground_truth_development,historical_existing_development,DISTRESSED,DISTRESSED,no,no,,,agree,DISTRESSED,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-SADNESS-003,non-frozen Experiment 01 development membership
SI-POSITIVE-005,historical_dev_v1,si,මේ සති අන්තෙ nursery එක සරසද්දි හැමදේම සැබෑ වගේ දැනුනා.,historical_ground_truth_development,historical_existing_development,DISTRESSED,DISTRESSED,no,no,,,agree,DISTRESSED,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-POSITIVE-005,non-frozen Experiment 01 development membership
SI-UNCERT-005,historical_dev_v1,si,මේක ගැන කනස්සල්ලක් ඕනද කියලා දන්නෙ නෑ.,historical_ground_truth_development,historical_existing_development,NEUTRAL,NEUTRAL,no,no,,,agree,NEUTRAL,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-UNCERT-005,non-frozen Experiment 01 development membership
