record_id,language,text,human_ground_truth,model_label,model_label_id,neutral_probability,positive_probability,negative_probability,model_confidence,latency_ms,mapped_mood
SI-FEAR-T04,SI,"කලින් ඉඳිකටුවලට බයයි හිටියේ, ඒත් අද nurse හරිම ලේසියෙන් blood test එක කලා, දැනුනෙවත් නෑ.",CALM,NEGATIVE,2,0.43329665064811707,0.13310518860816956,0.43359819054603577,0.43359819054603577,25.038400002813432,DISTRESSED
SI-SADNESS-008,SI,සමහර වෙලාවට කාටවත් සම්බන්ධ නැති බවක් දැනිලා දුකයි.,CALM,NEGATIVE,2,0.2994126081466675,0.033501435071229935,0.6670859456062317,0.6670859456062317,13.296999997692183,DISTRESSED
SI-AMBIG-002,SI,මගේ due date එක ලබන මාසේ තුන්වෙනි සතියේ විතර.,DISTRESSED,NEUTRAL,0,0.5498053431510925,0.24972622096538544,0.20046842098236084,0.5498053431510925,18.307500002265442,NEUTRAL
SI-AMBIG-T03,SI,"schedule එක නිතරම මාරු වෙනවා, track කරගන්නවත් බෑ, ඒක stress එකක්.",DISTRESSED,NEUTRAL,0,0.49566465616226196,0.24660317599773407,0.25773218274116516,0.49566465616226196,19.63110000360757,NEUTRAL
SI-AMBIG-T04,SI,"පිට පිට contradictory information ගොඩක් තියෙනවා, ඒක දැන් ම overwhelmed කරනවා.",DISTRESSED,NEUTRAL,0,0.4443725049495697,0.3851932883262634,0.17043428122997284,0.4443725049495697,27.147600005264394,NEUTRAL
SI-ANXIETY-002,SI,පොඩි දෙයක් වුනත් බබාට මොකක් හරි වෙන්න ඇති කියලා බය හිතෙනවා.,DISTRESSED,NEUTRAL,0,0.6069420576095581,0.07542096078395844,0.31763696670532227,0.6069420576095581,19.284000001789536,NEUTRAL
SI-ANXIETY-007,SI,විශේෂ දෙයක් නැතත් සෑම වෙලාවෙම පොඩි කනස්සල්ලක් තියෙනවා.,DISTRESSED,NEUTRAL,0,0.48149800300598145,0.08652878552675247,0.4319732189178467,0.48149800300598145,18.780500002321787,NEUTRAL
SI-ANXIETY-010,SI,මම හොඳ අම්මා කෙනෙක් වෙයිද කියලා ගොඩක් හිතෙනවා.,DISTRESSED,POSITIVE,1,0.3089543581008911,0.620560348033905,0.07048530876636505,0.620560348033905,17.47310000064317,CALM
SI-FEAR-010,SI,"ඉඳිකටුවලට බයයි, ලබන blood test එක ගැන හිතෙන්නම stress එකක්.",DISTRESSED,POSITIVE,1,0.3740274906158447,0.4530797600746155,0.1728927344083786,0.4530797600746155,15.328200002841186,CALM
SI-FETAL-002,SI,"අද මුල්වතාවට බබාගේ hiccup එක දැනුනා, හරිම හොඳ දැනීමක්.",DISTRESSED,NEUTRAL,0,0.41985559463500977,0.41258111596107483,0.16756325960159302,0.41985559463500977,14.706199995998759,NEUTRAL
SI-FETAL-010,SI,මම කන දේවල් බබාට හොඳ නැද්ද කියලා නිතරම හිතෙනවා.,DISTRESSED,NEUTRAL,0,0.5942329168319702,0.08661797642707825,0.31914907693862915,0.5942329168319702,16.924800002016127,NEUTRAL
SI-POSITIVE-T03,SI,"හැමෝම කියනවා මේ special කාලේ enjoy කරන්න කියලා, ඒත් සැබැවින්ම මට excited වෙන්නවත් බැරි තරම් කනස්සල්ලයි.",DISTRESSED,NEUTRAL,0,0.4983370304107666,0.19575166702270508,0.30591121315956116,0.4983370304107666,28.498699997726362,NEUTRAL
SI-POSITIVE-T04,SI,"මේක සතුටුදායක කාලයක් වෙන්න ඕන කියලා දන්නවා, ඒත් හැම දවසෙම overwhelmed වගේ දැනෙනවා.",DISTRESSED,POSITIVE,1,0.36922043561935425,0.5314805507659912,0.0992991030216217,0.5314805507659912,23.726200000965036,CALM
SI-REASSURE-001,SI,"doctor කිව්වා හැමදේම සාමාන්‍ය විදිහට යනවා කියලා, දැන් හිතට සැහැල්ලුයි.",DISTRESSED,NEUTRAL,0,0.4731462299823761,0.28632456064224243,0.24052925407886505,0.4731462299823761,20.366199998534285,NEUTRAL
SI-ROUTINE-002,SI,සති 20 දී ටිකක් ඇවිදින්න යනවා නම් කමක් නැද්ද?,DISTRESSED,NEUTRAL,0,0.6725317239761353,0.021735114976763725,0.3057331144809723,0.6725317239761353,13.774500002909917,NEUTRAL
SI-SADNESS-001,SI,මේ pregnancy එක ගැන ගොඩක් කැමති වුනත් දැන් හිතට දුකයි.,DISTRESSED,POSITIVE,1,0.240097314119339,0.6675103306770325,0.09239235520362854,0.6675103306770325,15.932599999359809,CALM
SI-SADNESS-002,SI,හිතුවා වගේ මේ කාලේ enjoy කරගන්න බැරි වීම ගැන දුකයි.,DISTRESSED,NEUTRAL,0,0.48746365308761597,0.11408831924200058,0.3984479606151581,0.48746365308761597,17.6385999948252,NEUTRAL
SI-SYMPTOM-003,SI,"අද ටිකක් bleeding වගේ දැක්කා, මට හරිම බයයි.",DISTRESSED,POSITIVE,1,0.2236945778131485,0.685684084892273,0.09062137454748154,0.685684084892273,19.492300001729745,CALM
SI-UNCERT-009,SI,මේ කැක්කුම early labor ද නැත්නම් සාමාන්‍ය දෙයක්ද කියලා දන්නෙ නෑ.,DISTRESSED,NEUTRAL,0,0.49440935254096985,0.06430280208587646,0.4412878155708313,0.49440935254096985,27.234499997575767,NEUTRAL
