record_id,language,human_ground_truth,model_label,mapped_mood,model_confidence,latency_ms,error_type,text
EN-SYMPTOM-009,EN,NEUTRAL,POSITIVE,CALM,0.5079106092453003,26.70360000047367,neutral_to_positive,"My appetite has changed completely, I crave weird things now."
EN-UNCERT-004,EN,NEUTRAL,POSITIVE,CALM,0.5730501413345337,25.86489999521291,neutral_to_positive,I'm not sure whether to bring up this symptom with my doctor or just wait.
EN-UNCERT-006,EN,NEUTRAL,POSITIVE,CALM,0.5293419361114502,21.28870000160532,neutral_to_positive,Not sure what week I officially start the third trimester.
SI-AMBIG-003,SI,CALM,NEUTRAL,NEUTRAL,0.4588741660118103,19.06520000193268,calm_to_neutral,hospital bag checklist එකේ items විස්සක් විතර තියෙනවා.
SI-APPT-008,SI,CALM,NEUTRAL,NEUTRAL,0.6197603940963745,24.84280000498984,calm_to_neutral,"අද checkup එකෙන් පස්සේ හරිම සැහැල්ලුයි, නිකන්නටම කනස්සල්ලෙන් හිටියේ."
SI-FEAR-004,SI,CALM,NEGATIVE,DISTRESSED,0.4766756594181061,19.51089999784017,calm_to_negative,කලින් වෙච්ච දේ නිසා මේ pregnancy එකත් නැති වෙයිද කියලා බයයි.
SI-FEAR-T04,SI,CALM,NEGATIVE,DISTRESSED,0.4335981905460357,25.038400002813432,calm_to_negative,"කලින් ඉඳිකටුවලට බයයි හිටියේ, ඒත් අද nurse හරිම ලේසියෙන් blood test එක කලා, දැනුනෙවත් නෑ."
SI-FETAL-008,SI,CALM,NEUTRAL,NEUTRAL,0.4548202455043793,26.11569999862695,calm_to_neutral,"අද appointment එකේදි heart beat එක තදට හොඳින් ඇහුනා, ඒක හරිම සැහැල්ලුවක්."
SI-REASSURE-002,SI,CALM,NEUTRAL,NEUTRAL,0.525013267993927,21.099799996591173,calm_to_neutral,scan එකෙන් පස්සේ බබාගේ වර්ධනය ගැන දැන් හිතට සැහැල්ලුයි.
SI-REASSURE-005,SI,CALM,NEUTRAL,NEUTRAL,0.5503774881362915,15.420299998368137,calm_to_neutral,අනිත් අම්මලා එක්ක කතා කරහම මගේ කනස්සල්ල අඩු වුනා වගේ දැනුනා.
SI-REASSURE-010,SI,CALM,NEUTRAL,NEUTRAL,0.4554083943367004,20.208900001307484,calm_to_neutral,සැමියාගේ support එකෙන් මේ ගැන ටිකක් සන්සුන් වෙන්න පුළුවන් වුනා.
SI-REASSURE-T02,SI,CALM,NEUTRAL,NEUTRAL,0.5057269930839539,23.545000003650784,calm_to_neutral,hospital එකේ reassurance line එක සතියේ දවස්වල උදේ 9 ඉඳන් හවස 5 විවෘතයි.
SI-ROUTINE-004,SI,CALM,NEUTRAL,NEUTRAL,0.5862348675727844,18.529799999669198,calm_to_neutral,ගර්භනී කාලෙදි කෙස් dye කරන්න පුළුවන්ද?
SI-SADNESS-005,SI,CALM,NEUTRAL,NEUTRAL,0.5944969058036804,14.6041999978479,calm_to_neutral,මේ වෙනස්කම් වලට කලින් තිබ්බ මං කෙනා මිස් වෙනවා.
SI-SADNESS-008,SI,CALM,NEGATIVE,DISTRESSED,0.6670859456062317,13.296999997692184,calm_to_negative,සමහර වෙලාවට කාටවත් සම්බන්ධ නැති බවක් දැනිලා දුකයි.
SI-SADNESS-T04,SI,CALM,NEUTRAL,NEUTRAL,0.5993874073028564,22.32200000435114,calm_to_neutral,"pregnancy එකේ මුල් කාලෙදි ටිකක් දුකෙන් හිටියා, ඒත් දැන් emotional විදිහට හොඳටම හිතේ."
SI-SYMPTOM-007,SI,CALM,NEUTRAL,NEUTRAL,0.4145124852657318,12.27919999655569,calm_to_neutral,සවසට කකුල් ටිකක් ඉදිමෙනවා.
SI-UNCERT-T01,SI,CALM,NEUTRAL,NEUTRAL,0.5835905075073242,25.042600005690478,calm_to_neutral,"මේ trimester එකේදි මොකද වෙන්නෙ කියලා විශ්වාස නැතුව හිටියා, ඒත් දැන් ඒ ගැන කියවලා තියෙන නිසා හිත සන්සුන්."
SI-UNCERT-T02,SI,CALM,NEUTRAL,NEUTRAL,0.5484659075737,28.703399999358226,calm_to_neutral,"ගන්න ඕන prenatal vitamin එක මොකක්ද කියලා විශ්වාස නැතුව හිටියා, ඒත් pharmacist කෙනා පැහැදිලි කරහම තෝරගන්න ලේසි වුනා."
SI-AMBIG-002,SI,DISTRESSED,NEUTRAL,NEUTRAL,0.5498053431510925,18.30750000226544,distressed_to_neutral,මගේ due date එක ලබන මාසේ තුන්වෙනි සතියේ විතර.
SI-AMBIG-T03,SI,DISTRESSED,NEUTRAL,NEUTRAL,0.4956646561622619,19.63110000360757,distressed_to_neutral,"schedule එක නිතරම මාරු වෙනවා, track කරගන්නවත් බෑ, ඒක stress එකක්."
SI-AMBIG-T04,SI,DISTRESSED,NEUTRAL,NEUTRAL,0.4443725049495697,27.147600005264398,distressed_to_neutral,"පිට පිට contradictory information ගොඩක් තියෙනවා, ඒක දැන් ම overwhelmed කරනවා."
SI-ANXIETY-002,SI,DISTRESSED,NEUTRAL,NEUTRAL,0.6069420576095581,19.284000001789536,distressed_to_neutral,පොඩි දෙයක් වුනත් බබාට මොකක් හරි වෙන්න ඇති කියලා බය හිතෙනවා.
SI-ANXIETY-007,SI,DISTRESSED,NEUTRAL,NEUTRAL,0.4814980030059814,18.780500002321787,distressed_to_neutral,විශේෂ දෙයක් නැතත් සෑම වෙලාවෙම පොඩි කනස්සල්ලක් තියෙනවා.
SI-ANXIETY-010,SI,DISTRESSED,POSITIVE,CALM,0.620560348033905,17.47310000064317,distressed_to_positive,මම හොඳ අම්මා කෙනෙක් වෙයිද කියලා ගොඩක් හිතෙනවා.
SI-FEAR-010,SI,DISTRESSED,POSITIVE,CALM,0.4530797600746155,15.328200002841186,distressed_to_positive,"ඉඳිකටුවලට බයයි, ලබන blood test එක ගැන හිතෙන්නම stress එකක්."
SI-FETAL-002,SI,DISTRESSED,NEUTRAL,NEUTRAL,0.4198555946350097,14.70619999599876,distressed_to_neutral,"අද මුල්වතාවට බබාගේ hiccup එක දැනුනා, හරිම හොඳ දැනීමක්."
SI-FETAL-010,SI,DISTRESSED,NEUTRAL,NEUTRAL,0.5942329168319702,16.924800002016127,distressed_to_neutral,මම කන දේවල් බබාට හොඳ නැද්ද කියලා නිතරම හිතෙනවා.
SI-POSITIVE-T03,SI,DISTRESSED,NEUTRAL,NEUTRAL,0.4983370304107666,28.49869999772636,distressed_to_neutral,"හැමෝම කියනවා මේ special කාලේ enjoy කරන්න කියලා, ඒත් සැබැවින්ම මට excited වෙන්නවත් බැරි තරම් කනස්සල්ලයි."
SI-POSITIVE-T04,SI,DISTRESSED,POSITIVE,CALM,0.5314805507659912,23.72620000096504,distressed_to_positive,"මේක සතුටුදායක කාලයක් වෙන්න ඕන කියලා දන්නවා, ඒත් හැම දවසෙම overwhelmed වගේ දැනෙනවා."
SI-REASSURE-001,SI,DISTRESSED,NEUTRAL,NEUTRAL,0.4731462299823761,20.366199998534285,distressed_to_neutral,"doctor කිව්වා හැමදේම සාමාන්‍ය විදිහට යනවා කියලා, දැන් හිතට සැහැල්ලුයි."
SI-ROUTINE-002,SI,DISTRESSED,NEUTRAL,NEUTRAL,0.6725317239761353,13.774500002909916,distressed_to_neutral,සති 20 දී ටිකක් ඇවිදින්න යනවා නම් කමක් නැද්ද?
SI-SADNESS-001,SI,DISTRESSED,POSITIVE,CALM,0.6675103306770325,15.932599999359809,distressed_to_positive,මේ pregnancy එක ගැන ගොඩක් කැමති වුනත් දැන් හිතට දුකයි.
SI-SADNESS-002,SI,DISTRESSED,NEUTRAL,NEUTRAL,0.4874636530876159,17.6385999948252,distressed_to_neutral,හිතුවා වගේ මේ කාලේ enjoy කරගන්න බැරි වීම ගැන දුකයි.
SI-SYMPTOM-003,SI,DISTRESSED,POSITIVE,CALM,0.685684084892273,19.492300001729745,distressed_to_positive,"අද ටිකක් bleeding වගේ දැක්කා, මට හරිම බයයි."
SI-UNCERT-009,SI,DISTRESSED,NEUTRAL,NEUTRAL,0.4944093525409698,27.234499997575767,distressed_to_neutral,මේ කැක්කුම early labor ද නැත්නම් සාමාන්‍ය දෙයක්ද කියලා දන්නෙ නෑ.
SI-AMBIG-008,SI,NEUTRAL,NEGATIVE,DISTRESSED,0.5421399474143982,17.520000001240987,neutral_to_negative,"දැන් හැමදේම mix එකක්, සමහර දවස් හොඳයි සමහර දවස් අමාරුයි."
SI-ANXIETY-009,SI,NEUTRAL,NEGATIVE,DISTRESSED,0.5962227582931519,17.026400004397146,neutral_to_negative,සමහර වෙලාවට කනස්සල්ලෙන් රෑට නින්දත් යන්නෙ නෑ.
SI-ANXIETY-T04,SI,NEUTRAL,POSITIVE,CALM,0.4800986349582672,21.125200000824407,neutral_to_positive,ටිකකට කනස්සල්ලෙන් හිටියත් midwife එක්ක කතා කරහම දැන් හිතට හරිම සැහැල්ලුයි.
SI-DISCOMFORT-008,SI,NEUTRAL,NEGATIVE,DISTRESSED,0.5429137945175171,16.023999996832572,neutral_to_negative,දැන් පඩිපෙළ ටිකක් නැගුවත් හුස්ම හිරවෙනවා.
SI-FEAR-005,SI,NEUTRAL,NEGATIVE,DISTRESSED,0.5424582362174988,18.79209999606246,neutral_to_negative,delivery කරන වෙලාවෙ මොකක් හරි වෙයිද කියන හිතුවෙම බය හිතෙනවා.
SI-POSITIVE-004,SI,NEUTRAL,POSITIVE,CALM,0.7285448312759399,16.636600004858337,neutral_to_positive,දැනට මේක හරිම ලස්සන අත්දැකීමක් වෙලා තියෙන්නෙ.
SI-UNCERT-002,SI,NEUTRAL,NEGATIVE,DISTRESSED,0.4641374051570892,22.768099996028468,neutral_to_negative,බබාගේ හැලීම මේ අවස්ථාවට සාමාන්‍යද කියලා විශ්වාස නෑ.
