conflict_face_distress_text_calm,0.1,0.9,0.05|0.15|0.80,0.80|0.15|0.05,0.725,0.15,0.125,calm,0.725
conflict_face_distress_text_calm,0.15,0.85,0.05|0.15|0.80,0.80|0.15|0.05,0.6875,0.15,0.1625,calm,0.6875
conflict_face_distress_text_calm,0.2,0.8,0.05|0.15|0.80,0.80|0.15|0.05,0.65,0.15,0.2,calm,0.65
conflict_face_distress_text_calm,0.25,0.75,0.05|0.15|0.80,0.80|0.15|0.05,0.6125,0.15,0.2375,calm,0.6125
conflict_face_distress_text_calm,0.3,0.7,0.05|0.15|0.80,0.80|0.15|0.05,0.575,0.15,0.275,calm,0.575
conflict_face_distress_text_calm,0.35,0.65,0.05|0.15|0.80,0.80|0.15|0.05,0.5375,0.15,0.3125,calm,0.5375
conflict_face_distress_text_calm,0.4,0.6,0.05|0.15|0.80,0.80|0.15|0.05,0.5,0.15,0.35,calm,0.5
conflict_face_distress_text_calm,0.45,0.55,0.05|0.15|0.80,0.80|0.15|0.05,0.4625,0.15,0.3875,calm,0.4625
conflict_face_distress_text_calm,0.5,0.5,0.05|0.15|0.80,0.80|0.15|0.05,0.425,0.15,0.425,calm,0.425
conflict_face_distress_text_calm,0.55,0.45,0.05|0.15|0.80,0.80|0.15|0.05,0.3875,0.15,0.4625,distressed,0.4625
conflict_face_distress_text_calm,0.6,0.4,0.05|0.15|0.80,0.80|0.15|0.05,0.35,0.15,0.5,distressed,0.5
conflict_face_distress_text_calm,0.65,0.35,0.05|0.15|0.80,0.80|0.15|0.05,0.3125,0.15,0.5375,distressed,0.5375
conflict_face_distress_text_calm,0.7,0.3,0.05|0.15|0.80,0.80|0.15|0.05,0.275,0.15,0.575,distressed,0.575
conflict_face_distress_text_calm,0.75,0.25,0.05|0.15|0.80,0.80|0.15|0.05,0.2375,0.15,0.6125,distressed,0.6125
conflict_face_distress_text_calm,0.8,0.2,0.05|0.15|0.80,0.80|0.15|0.05,0.2,0.15,0.65,distressed,0.65
conflict_face_distress_text_calm,0.85,0.15,0.05|0.15|0.80,0.80|0.15|0.05,0.1625,0.15,0.6875,distressed,0.6875
conflict_face_distress_text_calm,0.9,0.1,0.05|0.15|0.80,0.80|0.15|0.05,0.125,0.15,0.725,distressed,0.725
conflict_face_distress_text_calm,0.95,0.05,0.05|0.15|0.80,0.80|0.15|0.05,0.0875,0.15,0.7625,distressed,0.7625
conflict_face_distress_text_calm,1.0,0.0,0.05|0.15|0.80,0.80|0.15|0.05,0.05,0.15,0.8,distressed,0.8
conflict_face_distress_text_neutral,0.0,1.0,0.20|0.20|0.60,0.20|0.65|0.15,0.2,0.65,0.15,neutral,0.65
conflict_face_distress_text_neutral,0.05,0.95,0.20|0.20|0.60,0.20|0.65|0.15,0.2,0.6275,0.1725,neutral,0.6275
conflict_face_distress_text_neutral,0.1,0.9,0.20|0.20|0.60,0.20|0.65|0.15,0.2,0.605,0.195,neutral,0.605
conflict_face_distress_text_neutral,0.15,0.85,0.20|0.20|0.60,0.20|0.65|0.15,0.2,0.5825,0.2175,neutral,0.5825
conflict_face_distress_text_neutral,0.2,0.8,0.20|0.20|0.60,0.20|0.65|0.15,0.2,0.56,0.24,neutral,0.56
conflict_face_distress_text_neutral,0.25,0.75,0.20|0.20|0.60,0.20|0.65|0.15,0.2,0.5375,0.2625,neutral,0.5375
conflict_face_distress_text_neutral,0.3,0.7,0.20|0.20|0.60,0.20|0.65|0.15,0.2,0.515,0.285,neutral,0.515
conflict_face_distress_text_neutral,0.35,0.65,0.20|0.20|0.60,0.20|0.65|0.15,0.2,0.4925,0.3075,neutral,0.4925
conflict_face_distress_text_neutral,0.4,0.6,0.20|0.20|0.60,0.20|0.65|0.15,0.2,0.47,0.33,neutral,0.47
conflict_face_distress_text_neutral,0.45,0.55,0.20|0.20|0.60,0.20|0.65|0.15,0.2,0.4475,0.3525,neutral,0.4475
conflict_face_distress_text_neutral,0.5,0.5,0.20|0.20|0.60,0.20|0.65|0.15,0.2,0.425,0.375,neutral,0.425
conflict_face_distress_text_neutral,0.55,0.45,0.20|0.20|0.60,0.20|0.65|0.15,0.2,0.4025,0.3975,neutral,0.4025
conflict_face_distress_text_neutral,0.6,0.4,0.20|0.20|0.60,0.20|0.65|0.15,0.2,0.38,0.42,distressed,0.42
conflict_face_distress_text_neutral,0.65,0.35,0.20|0.20|0.60,0.20|0.65|0.15,0.2,0.3575,0.4425,distressed,0.4425
conflict_face_distress_text_neutral,0.7,0.3,0.20|0.20|0.60,0.20|0.65|0.15,0.2,0.335,0.465,distressed,0.465
conflict_face_distress_text_neutral,0.75,0.25,0.20|0.20|0.60,0.20|0.65|0.15,0.2,0.3125,0.4875,distressed,0.4875
conflict_face_distress_text_neutral,0.8,0.2,0.20|0.20|0.60,0.20|0.65|0.15,0.2,0.29,0.51,distressed,0.51
conflict_face_distress_text_neutral,0.85,0.15,0.20|0.20|0.60,0.20|0.65|0.15,0.2,0.2675,0.5325,distressed,0.5325
conflict_face_distress_text_neutral,0.9,0.1,0.20|0.20|0.60,0.20|0.65|0.15,0.2,0.245,0.555,distressed,0.555
conflict_face_distress_text_neutral,0.95,0.05,0.20|0.20|0.60,0.20|0.65|0.15,0.2,0.2225,0.5775,distressed,0.5775
conflict_face_distress_text_neutral,1.0,0.0,0.20|0.20|0.60,0.20|0.65|0.15,0.2,0.2,0.6,distressed,0.6
conflict_face_neutral_text_distress,0.0,1.0,0.25|0.55|0.20,0.15|0.20|0.65,0.15,0.2,0.65,distressed,0.65
conflict_face_neutral_text_distress,0.05,0.95,0.25|0.55|0.20,0.15|0.20|0.65,0.155,0.2175,0.6275,distressed,0.6275
conflict_face_neutral_text_distress,0.1,0.9,0.25|0.55|0.20,0.15|0.20|0.65,0.16,0.235,0.605,distressed,0.605
conflict_face_neutral_text_distress,0.15,0.85,0.25|0.55|0.20,0.15|0.20|0.65,0.165,0.2525,0.5825,distressed,0.5825
conflict_face_neutral_text_distress,0.2,0.8,0.25|0.55|0.20,0.15|0.20|0.65,0.17,0.27,0.56,distressed,0.56
conflict_face_neutral_text_distress,0.25,0.75,0.25|0.55|0.20,0.15|0.20|0.65,0.175,0.2875,0.5375,distressed,0.5375
conflict_face_neutral_text_distress,0.3,0.7,0.25|0.55|0.20,0.15|0.20|0.65,0.18,0.305,0.515,distressed,0.515
conflict_face_neutral_text_distress,0.35,0.65,0.25|0.55|0.20,0.15|0.20|0.65,0.185,0.3225,0.4925,distressed,0.4925
conflict_face_neutral_text_distress,0.4,0.6,0.25|0.55|0.20,0.15|0.20|0.65,0.19,0.34,0.47,distressed,0.47
conflict_face_neutral_text_distress,0.45,0.55,0.25|0.55|0.20,0.15|0.20|0.65,0.195,0.3575,0.4475,distressed,0.4475
conflict_face_neutral_text_distress,0.5,0.5,0.25|0.55|0.20,0.15|0.20|0.65,0.2,0.375,0.425,distressed,0.425
conflict_face_neutral_text_distress,0.55,0.45,0.25|0.55|0.20,0.15|0.20|0.65,0.205,0.3925,0.4025,distressed,0.4025
conflict_face_neutral_text_distress,0.6,0.4,0.25|0.55|0.20,0.15|0.20|0.65,0.21,0.41,0.38,neutral,0.41
conflict_face_neutral_text_distress,0.65,0.35,0.25|0.55|0.20,0.15|0.20|0.65,0.215,0.4275,0.3575,neutral,0.4275
conflict_face_neutral_text_distress,0.7,0.3,0.25|0.55|0.20,0.15|0.20|0.65,0.22,0.445,0.335,neutral,0.445
conflict_face_neutral_text_distress,0.75,0.25,0.25|0.55|0.20,0.15|0.20|0.65,0.225,0.4625,0.3125,neutral,0.4625
conflict_face_neutral_text_distress,0.8,0.2,0.25|0.55|0.20,0.15|0.20|0.65,0.23,0.48,0.29,neutral,0.48
conflict_face_neutral_text_distress,0.85,0.15,0.25|0.55|0.20,0.15|0.20|0.65,0.235,0.4975,0.2675,neutral,0.4975
conflict_face_neutral_text_distress,0.9,0.1,0.25|0.55|0.20,0.15|0.20|0.65,0.24,0.515,0.245,neutral,0.515
conflict_face_neutral_text_distress,0.95,0.05,0.25|0.55|0.20,0.15|0.20|0.65,0.245,0.5325,0.2225,neutral,0.5325
conflict_face_neutral_text_distress,1.0,0.0,0.25|0.55|0.20,0.15|0.20|0.65,0.25,0.55,0.2,neutral,0.55
weak_face_strong_text_calm,0.0,1.0,0.34|0.33|0.33,0.75|0.15|0.10,0.75,0.15,0.1,calm,0.75
weak_face_strong_text_calm,0.05,0.95,0.34|0.33|0.33,0.75|0.15|0.10,0.7295,0.159,0.1115,calm,0.7295
weak_face_strong_text_calm,0.1,0.9,0.34|0.33|0.33,0.75|0.15|0.10,0.709,0.168,0.123,calm,0.709
weak_face_strong_text_calm,0.15,0.85,0.34|0.33|0.33,0.75|0.15|0.10,0.6885,0.177,0.1345,calm,0.6885
weak_face_strong_text_calm,0.2,0.8,0.34|0.33|0.33,0.75|0.15|0.10,0.668,0.186,0.146,calm,0.668
weak_face_strong_text_calm,0.25,0.75,0.34|0.33|0.33,0.75|0.15|0.10,0.6475,0.195,0.1575,calm,0.6475
weak_face_strong_text_calm,0.3,0.7,0.34|0.33|0.33,0.75|0.15|0.10,0.627,0.204,0.169,calm,0.627
weak_face_strong_text_calm,0.35,0.65,0.34|0.33|0.33,0.75|0.15|0.10,0.6065,0.213,0.1805,calm,0.6065
weak_face_strong_text_calm,0.4,0.6,0.34|0.33|0.33,0.75|0.15|0.10,0.586,0.222,0.192,calm,0.586
weak_face_strong_text_calm,0.45,0.55,0.34|0.33|0.33,0.75|0.15|0.10,0.5655,0.231,0.2035,calm,0.5655
weak_face_strong_text_calm,0.5,0.5,0.34|0.33|0.33,0.75|0.15|0.10,0.545,0.24,0.215,calm,0.545
weak_face_strong_text_calm,0.55,0.45,0.34|0.33|0.33,0.75|0.15|0.10,0.5245,0.249,0.2265,calm,0.5245
weak_face_strong_text_calm,0.6,0.4,0.34|0.33|0.33,0.75|0.15|0.10,0.504,0.258,0.238,calm,0.504
weak_face_strong_text_calm,0.65,0.35,0.34|0.33|0.33,0.75|0.15|0.10,0.4835,0.267,0.2495,calm,0.4835
weak_face_strong_text_calm,0.7,0.3,0.34|0.33|0.33,0.75|0.15|0.10,0.463,0.276,0.261,calm,0.463
weak_face_strong_text_calm,0.75,0.25,0.34|0.33|0.33,0.75|0.15|0.10,0.4425,0.285,0.2725,calm,0.4425
weak_face_strong_text_calm,0.8,0.2,0.34|0.33|0.33,0.75|0.15|0.10,0.422,0.294,0.284,calm,0.422
weak_face_strong_text_calm,0.85,0.15,0.34|0.33|0.33,0.75|0.15|0.10,0.4015,0.303,0.2955,calm,0.4015
weak_face_strong_text_calm,0.9,0.1,0.34|0.33|0.33,0.75|0.15|0.10,0.381,0.312,0.307,calm,0.381
weak_face_strong_text_calm,0.95,0.05,0.34|0.33|0.33,0.75|0.15|0.10,0.3605,0.321,0.3185,calm,0.3605
weak_face_strong_text_calm,1.0,0.0,0.34|0.33|0.33,0.75|0.15|0.10,0.34,0.33,0.33,calm,0.34
strong_face_calm_weak_text,0.0,1.0,0.75|0.15|0.10,0.34|0.33|0.33,0.34,0.33,0.33,calm,0.34
strong_face_calm_weak_text,0.05,0.95,0.75|0.15|0.10,0.34|0.33|0.33,0.3605,0.321,0.3185,calm,0.3605
strong_face_calm_weak_text,0.1,0.9,0.75|0.15|0.10,0.34|0.33|0.33,0.381,0.312,0.307,calm,0.381
strong_face_calm_weak_text,0.15,0.85,0.75|0.15|0.10,0.34|0.33|0.33,0.4015,0.303,0.2955,calm,0.4015
strong_face_calm_weak_text,0.2,0.8,0.75|0.15|0.10,0.34|0.33|0.33,0.422,0.294,0.284,calm,0.422
strong_face_calm_weak_text,0.25,0.75,0.75|0.15|0.10,0.34|0.33|0.33,0.4425,0.285,0.2725,calm,0.4425
strong_face_calm_weak_text,0.3,0.7,0.75|0.15|0.10,0.34|0.33|0.33,0.463,0.276,0.261,calm,0.463
strong_face_calm_weak_text,0.35,0.65,0.75|0.15|0.10,0.34|0.33|0.33,0.4835,0.267,0.2495,calm,0.4835
strong_face_calm_weak_text,0.4,0.6,0.75|0.15|0.10,0.34|0.33|0.33,0.504,0.258,0.238,calm,0.504
strong_face_calm_weak_text,0.45,0.55,0.75|0.15|0.10,0.34|0.33|0.33,0.5245,0.249,0.2265,calm,0.5245
strong_face_calm_weak_text,0.5,0.5,0.75|0.15|0.10,0.34|0.33|0.33,0.545,0.24,0.215,calm,0.545
strong_face_calm_weak_text,0.55,0.45,0.75|0.15|0.10,0.34|0.33|0.33,0.5655,0.231,0.2035,calm,0.5655
strong_face_calm_weak_text,0.6,0.4,0.75|0.15|0.10,0.34|0.33|0.33,0.586,0.222,0.192,calm,0.586
strong_face_calm_weak_text,0.65,0.35,0.75|0.15|0.10,0.34|0.33|0.33,0.6065,0.213,0.1805,calm,0.6065
strong_face_calm_weak_text,0.7,0.3,0.75|0.15|0.10,0.34|0.33|0.33,0.627,0.204,0.169,calm,0.627
strong_face_calm_weak_text,0.75,0.25,0.75|0.15|0.10,0.34|0.33|0.33,0.6475,0.195,0.1575,calm,0.6475
strong_face_calm_weak_text,0.8,0.2,0.75|0.15|0.10,0.34|0.33|0.33,0.668,0.186,0.146,calm,0.668
strong_face_calm_weak_text,0.85,0.15,0.75|0.15|0.10,0.34|0.33|0.33,0.6885,0.177,0.1345,calm,0.6885
strong_face_calm_weak_text,0.9,0.1,0.75|0.15|0.10,0.34|0.33|0.33,0.709,0.168,0.123,calm,0.709
strong_face_calm_weak_text,0.95,0.05,0.75|0.15|0.10,0.34|0.33|0.33,0.7295,0.159,0.1115,calm,0.7295
strong_face_calm_weak_text,1.0,0.0,0.75|0.15|0.10,0.34|0.33|0.33,0.75,0.15,0.1,calm,0.75
face_calm_text_distress_symmetric,0.0,1.0,0.60|0.25|0.15,0.15|0.25|0.60,0.15,0.25,0.6,distressed,0.6
face_calm_text_distress_symmetric,0.05,0.95,0.60|0.25|0.15,0.15|0.25|0.60,0.1725,0.25,0.5775,distressed,0.5775
face_calm_text_distress_symmetric,0.1,0.9,0.60|0.25|0.15,0.15|0.25|0.60,0.195,0.25,0.555,distressed,0.555
face_calm_text_distress_symmetric,0.15,0.85,0.60|0.25|0.15,0.15|0.25|0.60,0.2175,0.25,0.5325,distressed,0.5325
face_calm_text_distress_symmetric,0.2,0.8,0.60|0.25|0.15,0.15|0.25|0.60,0.24,0.25,0.51,distressed,0.51
face_calm_text_distress_symmetric,0.25,0.75,0.60|0.25|0.15,0.15|0.25|0.60,0.2625,0.25,0.4875,distressed,0.4875
face_calm_text_distress_symmetric,0.3,0.7,0.60|0.25|0.15,0.15|0.25|0.60,0.285,0.25,0.465,distressed,0.465
face_calm_text_distress_symmetric,0.35,0.65,0.60|0.25|0.15,0.15|0.25|0.60,0.3075,0.25,0.4425,distressed,0.4425
face_calm_text_distress_symmetric,0.4,0.6,0.60|0.25|0.15,0.15|0.25|0.60,0.33,0.25,0.42,distressed,0.42
face_calm_text_distress_symmetric,0.45,0.55,0.60|0.25|0.15,0.15|0.25|0.60,0.3525,0.25,0.3975,distressed,0.3975
face_calm_text_distress_symmetric,0.5,0.5,0.60|0.25|0.15,0.15|0.25|0.60,0.375,0.25,0.375,calm,0.375
face_calm_text_distress_symmetric,0.55,0.45,0.60|0.25|0.15,0.15|0.25|0.60,0.3975,0.25,0.3525,calm,0.3975
face_calm_text_distress_symmetric,0.6,0.4,0.60|0.25|0.15,0.15|0.25|0.60,0.42,0.25,0.33,calm,0.42
face_calm_text_distress_symmetric,0.65,0.35,0.60|0.25|0.15,0.15|0.25|0.60,0.4425,0.25,0.3075,calm,0.4425
face_calm_text_distress_symmetric,0.7,0.3,0.60|0.25|0.15,0.15|0.25|0.60,0.465,0.25,0.285,calm,0.465
face_calm_text_distress_symmetric,0.75,0.25,0.60|0.25|0.15,0.15|0.25|0.60,0.4875,0.25,0.2625,calm,0.4875
face_calm_text_distress_symmetric,0.8,0.2,0.60|0.25|0.15,0.15|0.25|0.60,0.51,0.25,0.24,calm,0.51
face_calm_text_distress_symmetric,0.85,0.15,0.60|0.25|0.15,0.15|0.25|0.60,0.5325,0.25,0.2175,calm,0.5325
face_calm_text_distress_symmetric,0.9,0.1,0.60|0.25|0.15,0.15|0.25|0.60,0.555,0.25,0.195,calm,0.555
face_calm_text_distress_symmetric,0.95,0.05,0.60|0.25|0.15,0.15|0.25|0.60,0.5775,0.25,0.1725,calm,0.5775
face_calm_text_distress_symmetric,1.0,0.0,0.60|0.25|0.15,0.15|0.25|0.60,0.6,0.25,0.15,calm,0.6
